date,in,out,dif
1/1/2012,5442,13263,-7821
1/2/2012,14572,28444,-13872
1/3/2012,19713,31157,-11444
1/4/2012,16868,25594,-8726
1/5/2012,16958,25797,-8839
1/6/2012,21072,24906,-3834
1/7/2012,18132,26509,-8377
1/8/2012,18516,28636,-10120
1/9/2012,15349,22710,-7361
1/10/2012,18883,26063,-7180
1/11/2012,17652,25925,-8273
1/12/2012,15105,24917,-9812
1/1/2013,15877,26750,-10873
1/2/2013,11708,24967,-13259
1/3/2013,12497,23828,-11331
1/4/2013,14952,24173,-9221
1/5/2013,13943,21795,-7852
1/6/2013,12082,21285,-9203
1/7/2013,16228,27494,-11266
1/8/2013,19289,28299,-9010
1/9/2013,18203,18664,-461
1/10/2013,26631,27161,-530
1/11/2013,25500,22387,3113
1/12/2013,21362,24923,-3561
1/1/2014,21252,23074,-1822
1/2/2014,21483,21799,-316
1/3/2014,24264,27198,-2934
1/4/2014,27062,27760,-698
1/5/2014,26595,25545,1050
1/6/2014,28985,31003,-2018
1/7/2014,37842,42615,-4773
1/8/2014,38834,41895,-3061
1/9/2014,30708,42244,-11536
1/10/2014,37782,49430,-11648
1/11/2014,36497,48560,-12063
1/12/2014,34796,49855,-15059
1/1/2015,33015,43500,-10485
1/2/2015,30732,41394,-10662
1/3/2015,34465,45605,-11140
1/4/2015,34159,45979,-11820
1/5/2015,34577,45070,-10493
1/6/2015,37511,46984,-9473
1/7/2015,37503,56500,-18997
1/8/2015,37341,67789,-30448
1/9/2015,48495,59579,-11084
1/10/2015,55259,61073,-5814
1/11/2015,49095,64864,-15769
1/12/2015,46350,66737,-20387
1/1/2016,41725,62164,-20439
1/2/2016,40868,58504,-17636
1/3/2016,58474,68071,-9597
1/4/2016,69864,70737,-873
1/5/2016,76332,64174,12158
1/6/2016,75658,75439,219
1/7/2016,82848,87346,-4498
1/8/2016,76592,87503,-10911
1/9/2016,74973,77002,-2029
